model_no,product_category,product_subcategory,product_group,product_sub_group,brand,product_name,product_description,actual_price,discount_price,filter_1,filter_2,filter_3,filter_4,filter_5,ratings_and_reviews,attr1:color,attr2:image:1,attr2:image:2,attr2:image:3,attr2:image:4,attr2:image:5,tag_1,tag_2,tag_3,tag_4,tag_5,var1:model_no,var1:product_name,var1:product_description,var1:actual_price,var1:discount_price,var1:attr1:color,var1:attr2:image,var2:model_no,var2:product_name,var2:product_description,var2:actual_price,var2:discount_price,var2:attr2:color,var2:attr2:image,total_variants,total_attributes
SKU:  F3001351 - 15 mm,bathroom and kitchen fittings,sanitary ware,faucet,half turn faucet,cera,CERA Half Turn Faucets - F3001351 Ocean Concealed stop cock 15 mm,Stop cock consisting of exposed part," 1,835",,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/F3001351-Ocean-Stop-cock.jpg,,,,,,,,,,,,,,,,,,,,,,,,1,1
SKU:  F3001351 - 20 mm,bathroom and kitchen fittings,sanitary ware,faucet,half turn faucet,cera,CERA Half Turn Faucets - F3001351 Ocean Concealed stop cock 20 mm,Stop cock consisting of exposed part," 1,860",,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/06/F3001351-Ocean-Stop-cock.jpg,,,,,,,,,,,,,,,,,,,,,,,,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKU:  F6010106,bathroom and kitchen fittings,sanitary ware,faucet,sensor & touch faucets,Cera,CERA Sensor & Touch Faucets - F6010106 Sensor tap,Wall mounted sensor tap," 13,920",,,,,,,,,https://www.cera-india.com/wp-content/uploads/2020/08/F6010106.jpg,,,,,,,,,,,,,,,,,,,,,,,,1,1
SKU:  F6010107,bathroom and kitchen fittings,sanitary ware,faucet,sensor & touch faucets,Cera,CERA Sensor & Touch Faucets - F6010107 Sensor tap,Deck mounted sensor tap," 12,560",,,,,,,,,https://www.cera-india.com/wp-content/uploads/2020/08/F6010107.jpg,,,,,,,,,,,,,,,,,,,,,,,,1,1
SKU:  F6010108,bathroom and kitchen fittings,sanitary ware,faucet,sensor & touch faucets,Cera,CERA Sensor & Touch Faucets - F6010108 Sensor tap,Deck mounted high neck," 14,995",,,,,,,,,https://www.cera-india.com/wp-content/uploads/2020/08/F6010108.jpg,,,,,,,,,,,,,,,,,,,,,,,,1,1
SKU:  F6010101,bathroom and kitchen fittings,sanitary ware,faucet,sensor & touch faucets,Cera,CERA Sensor & Touch Faucets - F6010101 Sensor tap,Deck mounted sensor tap for tabletop washbasins with tap hole," 12,855",,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/06/F6010101-Sensor-tap.png,,,,,,,,,,,,,,,,,,,,,,,,1,1
SKU:  F6010102,bathroom and kitchen fittings,sanitary ware,faucet,sensor & touch faucets,Cera,CERA Sensor & Touch Faucets - F6010102 Sensor tap super,Deck mounted sensor tap for tabletop washbasins with tap hole," 19,040",,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/6906-Sensor-2-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,1,1
SKU:  F6010103,bathroom and kitchen fittings,sanitary ware,faucet,sensor & touch faucets,Cera,CERA Sensor & Touch Faucets - F6010103 Sensor tap,Deck mounted sensor tap for tabletop washbasins with tap hole," 18,180",,,,,,,,,https://www.cera-india.com/wp-content/uploads/2016/03/6916-Sensor-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
